country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,,,,,,,,,,,,,,0.133,0.126,0.0853,0.113,0.12,0.103,0.12,0.113,
Albania,,,,,,,,,,,,,,,,,,,0.0587,,0.0678,0.0982,0.0798,
Algeria,,,,,0.211,0.174,,0.178,0.179,,,,,,,,,,,,,,,
Andorra,,,,,,,,0.0608,,0.067,0.0695,0.0992,0.111,,0.178,0.133,0.135,,0.164,0.113,0.144,0.136,0.136,0.139
Antigua and Barbuda,,,,,,,,,,,,,,,0.123,,0.0981,,,,,,,
Argentina,,,,0.151,0.166,0.157,0.169,0.152,0.129,0.129,0.161,0.168,0.178,0.192,0.222,0.193,0.206,0.208,0.216,0.213,0.229,0.216,0.206,
Armenia,,,,,,,,,,,,,,,,,,,0.149,0.146,,,,
Australia,0.16,,,,,,,,,,,,,,,,,0.161,0.168,0.165,0.171,0.15,,
Austria,,,,0.289,0.293,0.272,0.271,0.27,0.279,0.266,0.254,0.257,0.254,0.263,0.293,0.284,0.294,0.267,0.276,0.271,0.273,0.277,,
Bahrain,,,,,,,,,,,,,,,,,,,0.159,0.158,0.175,,,
Bangladesh,,,,,0.0999,0.093,,0.104,0.113,0.122,,0.126,0.121,0.116,0.103,0.126,0.112,0.104,,,,0.0988,,
Barbados,,,,,0.174,0.211,0.253,0.255,0.28,0.247,0.226,,0.23,0.198,0.208,0.258,,,,0.193,,0.28,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,0.357,
Belgium,,,,,,,,,,,,,,,,,,,0.245,,,,,
Belize,,,,,0.18,0.164,,,,0.192,0.205,0.207,,0.22,0.235,0.262,,0.231,0.219,0.238,0.26,0.261,0.273,
Benin,,,,,,0.222,0.224,0.182,0.201,0.226,,,,,,,,,0.138,0.13,0.113,,,
Bhutan,,,,,,,,,,,,,,0.363,0.334,0.26,0.301,,0.324,0.339,0.294,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,0.435,,
Botswana,,,,,,,,,,,0.436,,0.406,,0.359,,,,,,,,,
Brazil,,,,,,,,0.101,,0.114,0.13,,0.176,0.191,0.2,0.21,0.219,0.197,0.206,0.206,0.215,,,
Brunei,,,,,,,,,,,,,,,,0.0764,,,,0.101,,0.236,,
Bulgaria,,,,0.14,,,0.184,0.181,0.198,0.102,0.212,0.202,0.195,0.227,0.234,0.231,0.207,0.191,0.222,,,,,
Burkina Faso,,,,,,,,,,,0.208,0.223,0.292,,,0.206,0.227,0.182,0.156,0.161,0.173,0.199,,
Burundi,,,,,,,0.533,0.526,,0.517,0.518,,,,0.447,0.486,0.406,0.329,0.312,,,,,
Cambodia,,,,0.108,,,0.0605,,,,,,,,,,,,,,,,,
Cameroon,,,,,,,,,,,0.339,0.364,0.309,0.241,0.261,,0.18,0.178,,,,,,
Canada,,,,,,,,,,,,,,,,,0.183,,,,,,,
Cape Verde,,,,,,,,0.217,,,,0.193,0.165,0.157,0.14,,0.15,,0.165,0.163,0.187,0.199,0.197,
Central African Republic,,,,,,,,,,,,,,,0.154,,,,,,,,,
Chad,,,0.267,0.294,,,,,,0.251,0.248,,,,0.18,0.151,0.214,0.128,0.177,,,,,
Chile,,,,0.134,,0.143,,0.151,0.155,0.135,0.126,0.117,0.126,0.151,0.165,0.152,0.152,0.165,0.15,0.151,0.166,0.185,0.187,
China,,,,,0.114,,,,,,,,,,,,,,,,,,,
Colombia,,,,0.14,0.16,0.129,,,,0.151,0.145,,0.0992,0.147,0.15,0.15,0.144,0.147,0.162,0.169,0.157,0.156,0.173,0.176
